speaker,event,frame_start,frame_end
speaker_left,greetings,45,55
speaker_left,interjection,682,702
speaker_left,need_info,715,980
speaker_left,interjection,1119,1125
speaker_left,init_discussion,1982,2109
speaker_left,answer,2205,2435
speaker_left,discuss_open_question,2615,2635
speaker_left,interjection,2917,2925
speaker_left,interjection,3011,3025
speaker_left,bye,3025,3080
speaker_right,greetings,9,40
speaker_right,intro_proposal,42,435
speaker_right,interjection,677,700
speaker_right,interjection,703,712
speaker_right,interjection,1128,1142
speaker_right,share_info,1148,1748
speaker_right,interuption,1910,1945
speaker_right,interjection,1955,1965
speaker_right,answer,2157,2203
speaker_right,interjection,2460,2485
speaker_right,discuss_open_question,2620,2650
speaker_right,interjection,2661,2667
speaker_right,interjection,2820,2842
speaker_right,discuss_open_question,2851,2905
speaker_right,interjection,2927,2940
speaker_right,conclusion,2951,2972
speaker_right,bye,3025,3080
speaker_front,greetings,40,55
speaker_front,obj_proposal,440,655
speaker_front,share_info,983,1105
speaker_front,interjection,1351,1363
speaker_front,interuption,1726,1740
speaker_front,interuption,1751,1906
speaker_front,interuption,1936,1975
speaker_front,answer,2119,2175
speaker_front,interjection,2454,2485
speaker_front,open_question,2500,2595
speaker_front,discuss_open_question,2655,2865
speaker_front,interjection,2905,2915
speaker_front,interjection,2947,2970
speaker_front,conclusion,2976,3010
speaker_front,bye,3025,3080
