frame_number;event;key_point
1;no_sound_direction;
7;speaker_left_start;greetings
39;speaker_left_stop;greetings
39;speaker_right_start;greetings
39;speaker_front_start;greetings
57;speaker_right_stop;greetings
57;speaker_front_stop;greetings
58;speaker_left_start;intro_proposal
400;speaker_left_stop;intro_proposal
417;speaker_front_start;obj_proposal
485;speaker_left_start;interjection
500;speaker_left_stop;interjection
615;speaker_front_stop;obj_proposal
640;speaker_left_start;answer
745;speaker_left_stop;answer
745;speaker_right_start;need_info
870;speaker_right_stop;need_info
880;speaker_left_start;share_info
973;speaker_right_start;interjection
983;speaker_right_stop;interjection
1128;non_essential_info_start;
1442;speaker_front_start;interuption
1460;non_essential_info_stop;
1460;speaker_left_stop;share_info
1530;speaker_front_stop;interuption
1554;speaker_front_start;share_info
1745;speaker_left_start;interjection
1765;speaker_left_stop;interjection
1789;speaker_front_stop;share_info
1841;speaker_right_start;share_info
2250;speaker_right_stop;share_info
2265;speaker_right_start;init_discussion
2387;speaker_left_start;answer
2400;speaker_right_stop;init_discussion
2455;speaker_left_stop;answer
2455;speaker_right_start;interjection
2468;speaker_right_stop;interjection
2468;speaker_front_start;answer
2481;speaker_front_stop;answer
2481;speaker_right_start;answer
2605;speaker_right_stop;answer
2613;speaker_left_start;answer
2695;speaker_left_stop;answer
2707;speaker_right_start;interjection
2719;speaker_right_stop;interjection
2726;speaker_right_start;answer
2739;speaker_front_start;interuption
2755;speaker_right_stop;answer
2769;speaker_front_stop;interuption
2770;speaker_right_start;interjection
2780;speaker_right_stop;interjection
2780;speaker_front_start;interjection
2795;speaker_front_stop;interjection
2795;speaker_left_start;interjection
2815;speaker_left_stop;interjection
2827;speaker_front_start;open_question
2910;speaker_front_stop;open_question
2933;speaker_left_start;discuss_open_question
3228;speaker_front_start;interjection
3245;speaker_front_stop;interjection
3250;speaker_left_stop;discuss_open_question
3251;speaker_right_start;discuss_open_question
3317;speaker_right_stop;discuss_open_question
3328;speaker_left_start;interjection
3333;speaker_left_stop;interjection
3341;speaker_right_start;interjection
3342;speaker_front_start;discuss_open_question
3349;speaker_right_stop;interjection
3385;speaker_front_stop;discuss_open_question
3390;speaker_right_start;interjection
3396;speaker_left_start;interjection
3401;speaker_right_stop;interjection
3401;speaker_left_stop;interjection
3403;speaker_left_start;discuss_open_question
3406;speaker_right_start;discuss_open_question
3415;speaker_left_stop;discuss_open_question
3483;speaker_front_start;interjection
3492;speaker_front_stop;interjection
3495;speaker_right_stop;discuss_open_question
3502;speaker_left_start;conclusion
3530;speaker_left_stop;conclusion
3532;speaker_right_start;interjection
3536;speaker_front_start;bye
3550;speaker_right_stop;interjection
3552;speaker_left_start;bye
3555;speaker_front_stop;bye
3565;speaker_left_stop;bye
3568;speaker_right_start;bye
3568;speaker_front_start;bye
3590;speaker_right_stop;bye
3590;speaker_front_stop;bye
