pid,frame_nb,o_sound,o_speech_act
0,0,M,N
0,1,M,N
0,2,M,N
0,3,M,N
0,4,M,N
0,5,M,N
0,6,M,N
0,7,M,N
0,8,M,N
0,9,M,N
0,10,M,N
0,11,M,N
0,12,M,E
0,13,M,E
0,14,M,E
0,15,M,E
0,16,M,E
0,17,M,E
0,18,M,E
0,19,M,E
0,20,M,N
0,21,M,N
0,22,M,N
0,23,M,N
0,24,M,N
0,25,M,N
0,26,M,N
0,27,M,N
0,28,M,N
0,29,M,N
0,30,M,N
0,31,M,N
0,32,M,N
0,33,M,N
0,34,M,D
0,35,M,D
0,36,M,D
0,37,M,D
0,38,M,D
0,39,M,N
0,40,M,N
0,41,M,E
0,42,M,E
0,43,M,E
0,44,M,E
0,45,M,N
0,46,M,N
0,47,M,N
0,48,M,N
0,49,M,N
0,50,M,N
0,51,M,N
0,52,M,N
0,53,M,N
0,54,M,N
0,55,M,N
0,56,M,N
0,57,M,N
0,58,M,N
0,59,M,N
0,60,M,D
0,61,M,D
0,62,M,D
0,63,M,N
0,64,M,N
0,65,M,N
0,66,M,E
0,67,M,E
0,68,M,E
0,69,M,E
0,70,M,N
0,71,M,N
0,72,M,N
0,73,M,N
0,74,M,E
0,75,M,E
0,76,M,E
0,77,M,E
0,78,M,N
0,79,M,N
0,80,M,N
0,81,M,E
0,82,M,E
0,83,M,E
0,84,M,E
0,85,M,N
0,86,M,N
0,87,M,N
0,88,M,S
0,89,M,S
0,90,M,S
0,91,M,N
0,92,M,N
0,93,M,S
0,94,M,S
0,95,M,S
0,96,M,S
0,97,M,N
0,98,M,N
0,99,M,N
0,100,M,N
0,101,M,N
0,102,M,N
0,103,M,N
0,104,M,N
0,105,M,N
0,106,M,N
0,107,M,N
0,108,M,N
0,109,M,N
0,110,M,N
0,111,M,N
0,112,M,N
0,113,M,N
0,114,M,N
0,115,M,N
0,116,M,N
0,117,M,N
0,118,M,N
0,119,M,S
0,120,M,S
0,121,M,S
0,122,M,S
0,123,M,S
0,124,M,S
0,125,M,S
0,126,M,S
0,127,M,N
0,128,M,N
0,129,M,N
0,130,M,S
0,131,M,S
0,132,M,S
0,133,M,S
0,134,M,N
0,135,M,N
0,136,M,N
0,137,M,N
0,138,M,S
0,139,M,S
0,140,M,S
0,141,M,N
0,142,M,N
0,143,M,N
0,144,M,S
0,145,M,S
0,146,M,S
0,147,M,S
0,148,M,S
0,149,M,N
0,150,M,N
0,151,M,N
0,152,M,N
0,153,M,N
0,154,M,N
0,155,M,N
0,156,M,N
0,157,M,N
0,158,M,N
0,159,M,N
0,160,M,N
0,161,M,N
0,162,M,E
0,163,M,E
0,164,M,E
0,165,M,E
0,166,M,N
0,167,M,N
0,168,M,N
0,169,M,N
0,170,M,N
0,171,M,N
0,172,M,N
0,173,M,N
0,174,M,N
0,175,M,N
0,176,M,N
0,177,M,N
0,178,M,N
0,179,M,N
0,180,M,S
0,181,M,S
0,182,M,S
0,183,M,S
0,184,M,N
0,185,M,N
0,186,M,N
0,187,M,N
0,188,M,N
0,189,M,N
0,190,M,N
0,191,M,N
0,192,M,N
0,193,M,N
0,194,M,N
0,195,M,N
0,196,M,N
0,197,M,N
0,198,M,N
0,199,M,N
0,200,M,N
0,201,M,N
0,202,M,N
0,203,M,N
0,204,M,N
0,205,M,N
0,206,M,N
0,207,M,N
0,208,M,N
0,209,M,N
0,210,M,N
0,211,M,N
0,212,M,N
0,213,M,N
0,214,M,N
0,215,M,N
0,216,M,N
0,217,M,N
0,218,M,N
0,219,M,N
0,220,M,N
0,221,M,N
0,222,M,N
0,223,M,N
0,224,M,N
0,225,M,N
0,226,M,N
0,227,M,N
0,228,M,N
0,229,M,N
0,230,M,N
0,231,M,N
0,232,M,N
0,233,M,N
0,234,M,N
0,235,M,N
0,236,M,N
0,237,M,N
0,238,M,N
0,239,M,N
0,240,M,N
0,241,M,N
0,242,M,N
0,243,M,N
0,244,M,N
0,245,M,S
0,246,M,S
0,247,M,S
0,248,M,S
0,249,M,N
0,250,M,N
0,251,M,N
0,252,M,N
0,253,M,N
0,254,M,N
0,255,M,N
0,256,M,N
0,257,M,N
0,258,M,N
0,259,M,N
0,260,M,N
0,261,M,N
0,262,M,N
0,263,M,N
0,264,M,N
0,265,M,D
0,266,M,D
0,267,M,D
0,268,M,N
0,269,M,N
0,270,M,N
0,271,M,N
0,272,M,N
0,273,M,N
0,274,M,N
0,275,M,N
0,276,M,N
0,277,M,N
0,278,M,N
0,279,M,N
0,280,M,N
0,281,M,S
0,282,M,S
0,283,M,S
0,284,M,N
0,285,M,N
0,286,M,N
0,287,M,N
0,288,M,N
0,289,M,N
0,290,M,N
0,291,M,N
0,292,M,N
0,293,M,N
0,294,M,N
0,295,M,N
0,296,M,N
0,297,M,N
0,298,M,N
0,299,M,N
0,300,M,N
0,301,M,N
0,302,M,N
0,303,M,N
0,304,M,N
0,305,M,N
0,306,M,N
0,307,M,N
0,308,M,N
0,309,M,N
0,310,M,N
0,311,M,N
0,312,M,N
0,313,M,S
0,314,M,S
0,315,M,S
0,316,M,S
0,317,M,N
0,318,M,N
0,319,M,N
0,320,M,N
0,321,M,N
0,322,M,N
0,323,M,N
0,324,M,N
0,325,M,N
0,326,M,N
0,327,M,N
0,328,M,N
0,329,M,N
0,330,M,N
0,331,M,N
0,332,M,N
0,333,M,N
0,334,M,N
0,335,M,N
0,336,M,N
0,337,M,N
0,338,M,N
0,339,M,N
0,340,M,N
0,341,M,N
0,342,M,N
0,343,M,N
0,344,M,N
0,345,M,N
0,346,M,N
0,347,M,N
0,348,M,E
0,349,M,E
0,350,M,E
0,351,M,E
0,352,M,E
0,353,M,N
0,354,M,E
0,355,M,E
0,356,M,E
0,357,M,N
0,358,M,N
0,359,M,N
0,360,M,N
0,361,M,N
0,362,M,N
0,363,M,N
0,364,M,N
