,PID,dialog_id,mask,sound,state1_to_2_ratio
0,1,1,yes,mono,6.681623931623932
1,2,1,yes,mono,4.836038961038961
2,3,1,yes,mono,3.3752535496957403
3,4,1,yes,mono,3.364188163884674
4,5,1,yes,mono,2.930680078722939
5,6,1,yes,mono,3.39128664495114
6,7,1,yes,mono,3.300239234449761
7,8,1,yes,mono,3.228168185827698
8,9,1,yes,mono,3.2123421429501366
9,10,1,yes,mono,3.2721330956625074
10,11,1,yes,mono,3.0709285567222566
11,12,1,yes,mono,3.1705336426914155
12,13,1,yes,mono,3.4568949074957085
13,14,1,yes,mono,3.3035485250106884
14,15,1,yes,mono,3.2933917197452227
15,16,1,yes,mono,3.3157262905162064
16,17,1,yes,mono,3.3142030213186504
17,18,1,yes,mono,3.263688475983396
18,19,1,yes,mono,3.3506369426751594
19,20,1,yes,mono,3.3214328645269866
20,21,1,yes,mono,3.3253695427982124
21,22,1,yes,mono,3.1884234496637185
22,23,1,yes,mono,3.1550251256281405
23,24,1,yes,mono,3.08329389493611
24,25,1,yes,mono,3.1847092238208314
25,26,1,yes,mono,3.248443252579428
26,27,1,yes,mono,3.2458772582126767
27,28,1,yes,mono,3.2980358667805296
28,29,1,yes,mono,3.244910423452769
29,30,1,yes,mono,3.2472334895443624
30,31,1,yes,mono,3.063924442985815
31,32,1,yes,mono,3.002226551628166
32,33,1,yes,mono,2.957402094869571
33,34,1,yes,mono,2.918884257774928
34,35,1,yes,mono,2.9489376392681166
35,36,1,yes,mono,2.9558625748869054
36,37,1,yes,mono,2.8671647866030936
37,38,1,yes,mono,2.8427566807313642
38,39,1,yes,mono,2.783495695819953
39,40,1,yes,mono,2.7828168569474405
40,41,1,yes,mono,2.805509656098317
41,42,1,yes,mono,2.7922893381891245
42,1,2,yes,head,4.480225988700565
43,2,2,yes,head,2.0583289542827115
44,3,2,yes,head,1.825242718446602
45,4,2,yes,head,1.7094972067039107
46,5,2,yes,head,1.507323798035499
47,6,2,yes,head,1.564629847238543
48,7,2,yes,head,1.6617012936103488
49,8,2,yes,head,1.6602673980116558
50,9,2,yes,head,1.8498367791077257
51,10,2,yes,head,1.8156748911465892
52,11,2,yes,head,1.904191616766467
53,12,2,yes,head,1.9915188897455667
54,13,2,yes,head,1.9834384858044165
55,14,2,yes,head,1.8336927036238437
56,15,2,yes,head,2.1207549867734325
57,16,2,yes,head,2.0569233799487887
58,17,2,yes,head,2.0847415351998504
59,18,2,yes,head,2.0725011731581415
60,19,2,yes,head,2.069449841780936
61,20,2,yes,head,2.0922905265395038
62,21,2,yes,head,2.0948040109389243
63,22,2,yes,head,2.0784766301211772
64,23,2,yes,head,2.1185350852669833
65,24,2,yes,head,2.112715603690333
66,25,2,yes,head,2.188412148836394
67,26,2,yes,head,2.2111026228673287
68,27,2,yes,head,2.2316044914243407
69,28,2,yes,head,2.1969239219994505
70,29,2,yes,head,2.180208019294543
71,30,2,yes,head,2.1596091205211727
72,31,2,yes,head,2.1511108006147825
73,32,2,yes,head,2.0829332891905312
74,33,2,yes,head,2.1041505042668733
75,34,2,yes,head,2.116711293117026
76,35,2,yes,head,2.142645561418125
77,36,2,yes,head,2.174641655807752
78,37,2,yes,head,2.095655674074926
79,38,2,yes,head,2.0531779778010932
80,39,2,yes,head,1.98147904899514
81,40,2,yes,head,1.990673415379872
82,41,2,yes,head,2.0253315414458504
83,42,2,yes,head,2.1636165972096393
84,1,3,no,binaural,6.537037037037037
85,2,3,no,binaural,5.371819960861057
86,3,3,no,binaural,4.923590054578533
87,4,3,no,binaural,3.4239130434782608
88,5,3,no,binaural,2.4072833821682713
89,6,3,no,binaural,2.421366024518389
90,7,3,no,binaural,2.3946976467083707
91,8,3,no,binaural,2.140583554376658
92,9,3,no,binaural,2.0363692881566675
93,10,3,no,binaural,1.924113156713067
94,11,3,no,binaural,1.8618457850579304
95,12,3,no,binaural,1.965841809625019
96,13,3,no,binaural,2.0320916905444126
97,14,3,no,binaural,1.9768170835238033
